Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
0610009L18Rik,0,-17.52886418,-24.92681985,-32.17321532,-14.46751689
0610009O20Rik,0,-8.101780897,-11.67704686,-10.05445455,-9.596244664
0610010K14Rik,10.083531978,0,0,0,0
0610012G03Rik,0,-6.716530543,0,0,0
0610030E20Rik,0,-0.355893761,0,-9.692864642,0
0610039H22Rik,0,0,0,0,17.54598462
0610042G04Rik,0,0,0,0,12.425081174
0710001D07Rik,0,-9.583607858,0,0,0
43891,0,0,0,-18.79727468,0
43892,9.56524068,0,0,0,0
44075,0,0,0,0,40.7398759
44077,0,0,0,0,-16.5181926
44078,0,0,0,0,-18.82053802
44080,0,0,0,0,41.073501059
44082,0,0,0,0,-23.43203398
44083,0,0,0,0,8.8987998676
44086,0,0,0,0,23.891564103
212970,15.342035335,0,0,0,0
228712,0,-6.663606887,-15.71158632,-13.03366369,-11.44485187
329302,0,0,0,-11.98504484,0
385414,-18.61024817,0,0,0,12.110035651
432575,0,-12.85885648,-24.61858476,-22.82527403,-25.65896762
432823,0,27.734536329,42.376683302,0,0
434448,0,22.259581981,46.406057058,0,0
434481,16.348845118,0,0,0,0
435536,0,0,0,0,31.139611527
436153,-15.57399517,0,0,0,0
436187,0,0,0,-15.26638944,0
545342,0,33.079808264,52.810532723,19.85900402,18.040344201
627520,0,0,0,12.763145113,11.704754657
629657,0,0,0,13.592117516,0
631366,3.9969153217,0,0,13.788493221,19.240002665
668138,0,0,0,0,15.397418916
670106,0,0,0,16.354507346,22.792858025
670626,-12.85254532,0,0,0,0
671029,0,0,-8.938358893,-9.087065746,-12.30595596
671969,-15.86213898,0,0,0,0
672341,0,0,-10.74358864,0,0
673433,0,0,0,0,13.503211924
1110002J07Rik,0,0,21.136526157,0,0
1110017D15Rik,0,0,-11.57257965,-12.30107692,-17.18690801
1110018F16Rik,0,0,-15.23543061,0,-7.706799504
1110020A21Rik,0,0,-22.12735331,-23.02881875,-9.108271905
1110032A03Rik,0,-4.311902255,-14.1203604,0,0
1110034G24Rik,9.56524068,0,0,0,0
1110035H17Rik,0,0,-17.17020705,-21.90034014,-17.15375658
1110038B12Rik,0,0,0,25.868366563,26.976751725
1110046J04Rik,0,0,0,0,-7.730507726
1110051M20Rik,0,0,-11.84745888,-31.9835816,-37.51786183
1110059E24Rik,-15.86213898,0,0,-9.250598962,0
1110065P20Rik,0,-8.430387001,0,0,0
1190002N15Rik,0,-4.880398107,-36.00220272,-23.2338287,-21.18268545
1190007I07Rik,0,-12.69728127,0,0,0
1200016E24Rik,16.280175305,37.926244863,38.301693266,0,0
1500009L16Rik,0,0,10.637303964,21.740768676,48.482727809
1500026H17Rik,0,-8.451230187,-17.46017058,-14.99320073,-20.23014124
1500035N22Rik,0,-11.77435211,-29.11026327,-47.35833913,-34.69085287
1600014C10Rik,0,38.922216791,54.789783707,34.463741424,23.497903309
1600029I14Rik,-25.92897501,0,-20.81755686,0,-21.20597457
1700001C02Rik,0,-3.759526119,-10.84972247,-12.84268796,-15.98272705
1700001J03Rik,0,0,0,0,-16.48640753
1700001K19Rik,-15.34203534,0,0,0,0
1700001L05Rik,0,0,0,13.383411495,0
1700001O22Rik,-9.135323372,0,0,0,0
1700007G11Rik,-8.95518111,0,-10.26542167,-10.27007532,0
1700012B09Rik,-9.56524068,0,0,-19.31440532,-18.56446457
1700017B05Rik,0,0,15.073222061,12.411203131,19.198317418
1700018F24Rik,0,0,0,-23.04427155,25.642799041
1700020I14Rik,-15.66887284,-9.153334317,-25.61387178,-14.36656823,-10.84102513
1700021A07Rik,0,0,0,0,29.462948459
1700024G13Rik,0,0,-29.98534318,-31.14382176,-24.14838037
1700025G04Rik,0,-10.20507507,-19.84195953,0,0
1700029I15Rik,0,0,0,-11.98052935,0
1700029J07Rik,0,0,-10.6494473,-8.55599537,-10.60284831
1700030K09Rik,0,0,0,-8.652232109,0
1700034G24Rik,0,46.553852021,0,0,0
1700049L16Rik,0,0,0,15.22412459,0
1700066C05Rik,0,0,19.744145169,0,0
1700069L16Rik,0,11.007558314,0,0,0
1700084J12Rik,0,0,10.457256495,20.276176958,0
1700088E04Rik,0,0,0,0,-14.64549185
1700094D03Rik,0,0,0,-11.06722942,0
1700096K18Rik,0,-9.533356433,0,0,0
1700122O11Rik,0,0,0,0,38.113482997
1700123K08Rik,0,0,0,-10.36481334,-19.98970328
1810010H24Rik,0,-18.21181868,-43.07554172,-40.45285976,-46.67782644
1810011H11Rik,0,-14.05403663,0,0,0
1810013L24Rik,-11.41787125,0,0,-10.76780338,-11.21517978
1810014B01Rik,0,0,-9.917327241,0,0
1810015C11Rik,0,0,0,-16.603952,-14.81125903
1810026B05Rik,0,0,0,-16.97219541,0
1810030O07Rik,0,-2.173689508,0,0,0
1810032O08Rik,0,0,9.1026637539,0,0
1810055G02Rik,0,0,12.371852365,17.663709353,0
1810058I24Rik,0,0,-10.0553292,0,0
1810059H22Rik,0,0,-10.61672994,-22.16839941,-27.78506389
1810062O18Rik,0,0,0,-10.34280219,0
1810065E05Rik,0,0,0,22.113312619,0
2010001K21Rik,-20.76596294,0,-8.551507426,-23.65763346,-36.33714931
2010110K18Rik,0,0,0,0,40.307619773
2010111I01Rik,0,3.4308688857,0,0,0
2010204K13Rik,0,0,-7.969510725,21.175602683,7.898341764
2010300C02Rik,0,-5.202244239,-8.342604515,0,-9.433757278
2010309G21Rik,0,0,-24.3884006,0,0
2200002D01Rik,0,0,11.976168789,31.422678135,0
2210011C24Rik,0,-18.69630949,-37.60452065,-49.92366745,-17.93088495
2210011G09Rik,0,0,-23.17451723,-11.41650036,-12.44141374
2210016H18Rik,0,0,-26.41316959,-13.70285614,-11.24987276
2210019G11Rik,14.561127613,0,0,-27.47189076,0
2210407C18Rik,0,21.612736464,51.861259691,0,0
2210408F21Rik,0,0,0,0,-9.852046519
2210408I21Rik,0,-13.04743754,-17.25819828,-20.3159118,-14.05827816
2210416O15Rik,0,-11.34106716,0,0,0
2300009A05Rik,10.083531978,0,0,0,0
2310001H17Rik,0,12.277219643,12.954697322,0,0
2310001K24Rik,0,-12.624385,0,-13.97080129,-16.9252256
2310007B03Rik,9.5181530217,0,0,0,0
2310009A05Rik,-11.18628293,0,0,0,0
2310010J17Rik,0,-9.200111445,-16.80039763,-19.23161009,0
2310021N16Rik,0,0,0,-19.58837105,-23.77566545
2310022A10Rik,0,0,22.413481243,0,0
2310022B05Rik,-10.87136136,-3.503457601,9.2486323653,0.0888915621,3.9302966547
2310030G06Rik,0,-9.409733317,0,-17.26157943,-16.37716422
2310033P09Rik,0,0,-10.83194447,0,0
2310034G01Rik,0,0,0,0,-8.761364576
2310043M15Rik,0,21.565333349,29.965995327,0,0
2310047K21Rik,0,-5.915583521,-15.96849225,0,0
2310067E19Rik,10.610034547,0,0,0,-9.065879707
2410002F23Rik,0,3.340370548,0,0,0
2410089E03Rik,0,-10.3962518,-10.00653868,0,0
2510002D24Rik,0,0,-11.09470386,0,0
2510009E07Rik,0,0,-4.348714113,-3.441502583,-1.893911185
2610001A08Rik,8.5725062583,0,0,0,0
2610002J23Rik,0,0,0,0,-9.079915879
2610002M06Rik,0,0,0,-3.127860545,-9.833153549
2610005L07Rik,12.993222735,1.026937176,0,-10.94969544,0
2610008E11Rik,0,0,-7.928722075,-10.9603706,0
2610027H17Rik,0,0,0,0,-9.752297121
2610027K06Rik,0,-11.38932635,-26.51415216,0,0
2610028H24Rik,-12.23169771,0,-9.608401871,0,0
2610036A22Rik,0,0,9.4689797368,13.458972615,0
2610203C22Rik,0,-14.58331754,-16.4314775,0,0
2610306M01Rik,0,-7.667230827,0,0,0
2610318N02Rik,0,0,22.371310093,21.893686165,51.836237692
2610507B11Rik,0,-9.555013394,0,0,0
2610524H06Rik,0,0,20.277346578,0,0
2610528J11Rik,0,-9.036540338,-9.704991696,0,0
2700046A07Rik,0,0,-19.35015274,-23.61331057,0
2700046G09Rik,0,-21.41642758,0,0,0
2700049A03Rik,0,0,-13.12365696,0,0
2700081O15Rik,0,0,-7.839842013,0,0
2700097O09Rik,0,0,0,0,-11.60616241
2700099C18Rik,0,0,0,30.52878776,69.718934456
2810004N23Rik,0,0,0,14.779523204,6.7162487527
2810013P06Rik,0,-10.75042301,-11.87306345,-16.50905158,-11.18666808
2810021J22Rik,0,-3.56070233,0,0,0
2810025M15Rik,0,0,-11.51801333,0,0
2810403A07Rik,0,0.1118853549,0,0,0
2810408A11Rik,0,0,-11.32299488,0,0
2810408B13Rik,-12.55984768,0,0,0,0
2810410L24Rik,0,-19.10214789,-13.62982185,-11.85572501,0
2810474C18Rik,0,0,0,0,11.301142686
2810474O19Rik,39.03888067,26.430594687,23.098313609,0,0
2900005J15Rik,0,-8.445980155,0,0,0
2900006A17Rik,10.610034547,0,-15.02050335,-31.28698012,-24.71950944
2900026A02Rik,0,-11.64348087,-12.72039758,0,-19.02422923
2900052L18Rik,0,-18.43324565,-22.71132294,0,0
2900064K03Rik,0,-14.2118528,0,-14.21430071,0
2900080J11Rik,0,0,0,-19.6676981,0
2900093K20Rik,0,0,-14.08607873,-10.32533824,0
3000002C10Rik,-10.87136136,0,0,10.419683123,16.329541041
3021401N23Rik,0,-9.632723297,0,0,0
3100002H09Rik,0,11.765003116,36.967330108,0,0
3110005L24Rik,0,0,-11.57967223,-9.147425364,0
3110040N11Rik,0,0,0,0,9.5531460132
3110062M04Rik,0,-25.35673706,-44.6696286,0,0
3110073H01Rik,0,0,-12.71038012,0,0
3222401L13Rik,0,0,0,0,-16.91735887
3300002A11Rik,-14.941251,0,-34.62072641,-41.98904693,-16.45900356
3632451O06Rik,0,0,-11.23127413,0,0
4631423B10Rik,0,0,0,-10.41296641,0
4632404H12Rik,0,0,0,-12.65731924,-11.16863148
4632427E13Rik,7.6095161567,0,0,-10.66807525,0
4732460I02Rik,0,0,0,-15.84268807,-8.666659127
4732465J04Rik,13.539788022,0,0,0,0
4833414E09Rik,0,0,0,0,-12.94487774
4833417J20Rik,-15.43409948,0,0,0,-14.38228921
4833420G17Rik,0,-9.678480585,-15.5640567,-10.43023411,0
4833431D13Rik,0,0,0,-16.26432609,0
4833432P19Rik,0,13.928058363,17.914249878,0,0
4833439L19Rik,-11.18628293,0,0,0,0
4921507G05Rik,-15.51166788,0,0,36.528238288,32.451279181
4921507P07Rik,0,0,0,-24.66643189,-30.35714241
4921524J17Rik,0,1.8329821623,0,0,7.7477091275
4921531C22Rik,0,0.245106498,0,0,0
4921534H16Rik,-11.05817929,0,0,0,0
4930402H24Rik,-11.41787125,-12.52616702,-6.191404181,-9.581896709,-12.36548967
4930405O22Rik,0,0,0,-8.375387804,0
4930426D05Rik,0,0,-13.51605911,0,0
4930430F08Rik,0,14.454228934,-6.252087825,0,0
4930431P19Rik,0,-7.275674593,0,0,0
4930444F02Rik,0,0,0,0,27.182054991
4930452B06Rik,0,0,-10.45804765,0,0
4930453N24Rik,0,0,10.888235757,0,0
4930486L24Rik,0,0,17.827717995,0,0
4930503L19Rik,0,0,0,7.7996611379,11.920589815
4930520O04Rik,0,0,0,-13.22076297,0
4930523C07Rik,0,0,0,-17.06640888,0
4930524J08Rik,0,0,0,10.274198416,20.896553424
4930555G01Rik,0,12.448975103,22.129467297,0,0
4930556M19Rik,0,0,-15.89665104,-23.84905961,-17.75695072
4930562F07Rik,8.09619576,1.8991279793,-8.271487191,-15.52722043,-10.84990409
4930564C03Rik,0,8.9867295233,17.295636539,0,0
4930572P05Rik,0,26.942530112,0,0,0
4930579C12Rik,0,11.554995976,13.795650658,0,0
4930581F22Rik,0,0,0,-16.20022083,-7.312908075
4930599N23Rik,0,36.060993097,65.078395326,48.117892221,29.05724565
4931406C07Rik,0,0.343810248,0,0,-10.931251
4931406P16Rik,0,0,0,0,-6.830347272
4931428F04Rik,0,0,-12.74559246,0,0
4932415M13Rik,0,0,40.326171072,36.784128023,21.508268324
4932438A13Rik,0,18.801272032,0,0,0
4933408J17Rik,0,0,0,0,12.306437727
4933416E14Rik,0,0,0,28.723951039,57.935101401
4933417G07Rik,0,0,0,10.555547928,7.1674433353
4933427D14Rik,0,-18.52172065,0,0,0
4933439C10Rik,0,-11.4713454,-15.87768754,-13.73646857,0
5031425E22Rik,0,16.45958624,0,0,0
5031426D15Rik,0,-4.269889639,0,-10.22958642,0
5031439G07Rik,0,-11.57823907,-10.29153978,0,0
5033406O09Rik,0,0,9.9315339271,11.372357963,0
5033418A18Rik,0,0,10.107402674,0,18.22583359
5033430I15Rik,0,0,0,0,20.831217951
5230400M03Rik,0,30.181407312,33.073933177,0,0
5330417C22Rik,0,-21.3610556,-43.30183835,-48.82740889,-34.94024648
5430402P08Rik,0,1.4223119487,0,-26.56237025,-23.0548565
5430403G16Rik,-14.78406396,0,0,0,0
5430411C19Rik,0,0,0,-10.88430722,0
5430414B12Rik,0,0,0,0,-11.88090549
5430427O19Rik,0,26.17100854,42.026250005,34.803808916,30.154739255
5430440L12Rik,0,-6.193488305,-7.987062898,-9.496257232,0
5530402H23Rik,-12.86325842,0,0,0,0
5730409E04Rik,0,0,-12.27554644,0,0
5730416F02Rik,0,0,14.758003471,12.345233072,0
5730416O20Rik,0,0,0,-25.67273949,-18.53560936
5730455P16Rik,0,0,-5.691282053,11.315105,8.8065032447
5730507C01Rik,-13.61144232,0,0,0,0
5730559C18Rik,0,0,10.806460159,24.090949494,16.349429138
5830409B07Rik,-13.10334345,0,0,0,0
5830420C07Rik,-9.135323372,-0.450636102,0,0,0
5830428M24Rik,0,0,-13.969675,-30.3253006,-19.4546021
5830454E08Rik,0,0,-11.19010589,-11.05033995,0
5830468F06Rik,0,0,0,0,22.604100459
5930430L01Rik,13.893056807,0,-24.15912354,-20.46296824,-31.66168443
6030422H21Rik,0,0,38.321523956,0,0
6030487A22Rik,21.660032395,0,0,-11.61678776,-8.886162608
6230424C14Rik,12.125974322,0,-21.69615666,-25.17876106,-15.48200585
6330403K07Rik,0,-10.84963497,-34.91323998,-23.96557188,0
6330403L08Rik,0,0,-20.66153345,0,0
6330407A03Rik,10.083531978,11.162123929,0,0,0
6330509M05Rik,0,0,-10.40772284,0,0
6430548M08Rik,0,-8.829839272,-2.170291146,0,-22.01157455
6430573F11Rik,0,-7.435823041,0,-14.43940277,-10.58979055
6430590A07Rik,0,0,0,-11.3014676,0
6530406A20Rik,0,0,-9.637797113,-11.10988028,0
6720489N17Rik,0,0,-9.390717635,0,0
7330403C04Rik,0,0,0,-11.39868561,0
8030488J09Rik,0,0,0,-13.30260815,-12.17088773
8030498J20Rik,0,0,0,-9.92749147,-9.808652476
8430406H22Rik,-11.44327113,0,0,0,0
8430408G22Rik,15.072589592,0,0,0,0
8430416G17Rik,0,-16.9792708,-23.01513137,-24.84922305,-13.21534534
8430431K14Rik,0,0,0,-16.80313187,-14.22164161
9030624J02Rik,0,-3.223904235,10.386952779,7.26202516,8.9559513987
9130230L23Rik,0,0,0,-16.14216382,-14.77584795
9130401M01Rik,0,0,0,9.6161273909,7.6346300121
9230104L09Rik,0,0,-23.77906034,0,-21.24010367
9230110I02Rik,0,-13.35206707,-12.48960992,-15.31848882,-17.5730589
9230114K14Rik,0,3.5021596473,0,0,0
9330151L19Rik,-24.67703212,-13.17656026,0,0,0
9330159F19Rik,-26.62038241,-11.72460325,0,0,-19.03668311
9330159N05Rik,0,0,0,0,-8.614990158
9330161L09Rik,0,0,9.4587639253,0,0
9330171B17Rik,0,31.39125184,0,0,0
9330175E14Rik,0,32.017835737,61.568631893,26.976053429,20.376975526
9330182L06Rik,0,0,-8.338696464,-13.49325746,0
9330188P03Rik,0,0,-11.10760899,-15.91774773,0
9430040K09Rik,0,5.908960982,0,0,0
9430079G20Rik,0,0,-15.98045275,-25.86588616,-21.33376519
9530003J23Rik,0,-16.90909965,-27.98280342,-34.83045823,-24.50020079
9530006C21Rik,0,0,0,-17.18363328,-21.96200449
9530010C24Rik,0,0,-17.30023332,-20.99622891,-18.58811526
9530026P05Rik,0,-13.3005777,-26.48100351,-55.42292957,-53.40040105
9530039L23Rik,0,0,0,0,-20.88363241
