Day Post-Infection,Day Post-Infection (Ordinal),Age Group,SARS Strain,Viral Dose (PFU),Study name,Bioset ID,Species,Bioset name,Sample count,Baseline,Feature Size
0.5,0.5,3-aged (52 weeks old),4-MA15,100000,Study_24:Lungs from aged and young mice infected with mouse adapted SARS strains (Timecourse),867451,Mus musculus,Lungs from 1yr old (aged) mice - 12hr post SARS MA15 strain infection _vs_ mock (PBS) infection,3,,627
0.5,0.5,3-aged (52 weeks old),2-MA15e,100000,Study_24:Lungs from aged and young mice infected with mouse adapted SARS strains (Timecourse),867454,Mus musculus,Lungs from 1yr old (aged) mice - 12hr post SARS MA15e strain infection _vs_ mock (PBS) infection,3,,237
0.5,0.5,3-aged (52 weeks old),3-MA15g,100000,Study_24:Lungs from aged and young mice infected with mouse adapted SARS strains (Timecourse),867457,Mus musculus,Lungs from 1yr old (aged) mice - 12hr post SARS MA15g strain infection _vs_ mock (PBS) infection,3,,1331
0.5,0.5,1-young (<10 weeks old),4-MA15,100000,Study_24:Lungs from aged and young mice infected with mouse adapted SARS strains (Timecourse),867478,Mus musculus,Lungs from 8wk old (young) mice - 12hr post SARS MA15 strain infection _vs_ mock (PBS) infection,4,,328
0.5,0.5,1-young (<10 weeks old),2-MA15e,100000,Study_24:Lungs from aged and young mice infected with mouse adapted SARS strains (Timecourse),867481,Mus musculus,Lungs from 8wk old (young) mice - 12hr post SARS MA15e strain infection _vs_ mock (PBS) infection,4,,931
0.5,0.5,1-young (<10 weeks old),3-MA15g,100000,Study_24:Lungs from aged and young mice infected with mouse adapted SARS strains (Timecourse),867484,Mus musculus,Lungs from 8wk old (young) mice - 12hr post SARS MA15g strain infection _vs_ mock (PBS) infection,4,,737
1,1,1-young (<10 weeks old),1-TOR-2,,"Study_26:Lungs from mice at 1,2,3,5,14 and 28 days post-infection with SARS coronavirus",926614,Mus musculus
1,1,2-adult (20-23 weeks old),4-MA15,100,Study_6:Lung gene expression profiles of mice 2-7d following dosed SARS infection,494014,Mus musculus,Lung of mice 1d after intranasal instillation of 100 PFU SARS CoV MA15 _vs_ PBS,5,PBS,7513
1,1,2-adult (20-23 weeks old),4-MA15,1000,Study_6:Lung gene expression profiles of mice 2-7d following dosed SARS infection,494017,Mus musculus,Lung of mice 1d after intranasal instillation of 1000 PFU SARS CoV MA15 _vs_ PBS,5,PBS,6848
1,1,2-adult (20-23 weeks old),4-MA15,10000,Study_6:Lung gene expression profiles of mice 2-7d following dosed SARS infection,494020,Mus musculus,Lung of mice 1d after intranasal instillation of 10000 PFU SARS CoV MA15 _vs_ PBS,5,PBS,7147
