Gene,Mean(0.5),Mean(1),Mean(2),Mean(4),Mean(7)
Ifna1,0,32.915718519,42.487729258,0,0
Ifna2,0,33.385423675,63.938932091,0,0
Ifna4,0,28.972012095,54.72636271,0,0
Ifna6,0,12.579932985,0,0,0
Ifna9,0,0,14.000663054,0,0
Ifna12,0,35.528652406,61.926640953,0,0
Ifna13,0,18.927542625,0,0,0
Ifnab,0,33.791009027,57.992587342,0,0
Ifnar1,26.964780433,0.69518011,0,-8.88858703,0
Ifnar2,0,6.459358828,8.2169367643,0,0
Ifnb1,0,51.292264591,86.829516613,70.993382399,0
Ifng,0,35.008167725,71.547194576,44.573159773,70.39649387
Ifngr2,0,0,0,11.885980694,0
