Gene,Mean(0.5),Mean(1),Mean(2),Mean(4),Mean(7)
0610007N19Rik,0,-12.07146202,-11.04326232,0,0
0610007P22Rik,0,-9.718960927,0,-31.1843651,13.526360425
0610009D07Rik,0,2.4425148853,0,0,0
0610009L18Rik,0,-17.52886418,-24.95433743,-32.21555654,-14.50485727
0610009O20Rik,0,-8.052256345,-7.924432897,0,0
0610010K14Rik,10.083531978,0,0,0,0
0610011F06Rik,-19.44386761,0,-17.31591051,-8.063937636,0
0610012G03Rik,0,-6.716530543,0,0,0
0610030E20Rik,0,-0.324935425,0,-9.717925357,0
0610039H22Rik,0,0,0,0,14.209658375
0610042G04Rik,0,0,0,0,12.455346243
0710001D07Rik,0,-9.583607858,0,0,0
195534,-14.23892923,0,0,13.424710943,0
212970,15.342035335,0,0,0,0
228712,0,-10.72863184,-22.89716701,-15.79024578,-13.35829054
329302,0,0,0,-12.01796182,0
385414,-18.61024817,0,0,0,12.150330961
432575,0,-12.85885648,-24.63494066,-22.8571191,-25.7013668
432607,0,0,-23.06686342,-19.5265363,0
432823,0,27.741716264,42.410824815,0,0
433310,0,2.4149100213,-9.158109294,0,0
434002,-9.518153022,-6.456063023,-39.92057995,0,0
434448,0,22.263730058,46.43841333,0,0
434481,16.348845118,0,0,0,0
434575,-16.12705539,0,0,0,0
435536,0,0,0,0,31.210029626
436153,-15.57399517,0,0,0,0
436187,0,0,0,-15.3124762,0
545342,0,33.108311733,52.842507127,19.914132148,18.07602021
627520,0,0,0,12.794812443,11.742143575
629657,0,0,0,13.626155329,0
631366,3.9969153217,0,0,13.817279703,19.302628041
670106,0,0,0,16.387166406,22.85614917
670626,-12.85254532,0,0,0,0
671029,0,0,-8.942964407,-9.100824388,-12.34268046
671969,-15.86213898,0,0,0,0
673433,0,0,0,0,13.557504305
675894,0,0,-7.571164702,0,0
1100001G20Rik,-16.45343021,0,0,0,0
1110001A16Rik,-13.76909774,-9.002408397,-9.254384852,0,0
1110001J03Rik,0,0,-13.05059376,0,0
1110002J07Rik,0,0,21.165243758,0,0
1110003E01Rik,0,-8.033463423,-11.63991844,0,0
1110007C09Rik,10.494721155,0,0,0,0
1110012J17Rik,13.893056807,-12.59561455,-22.71991088,-31.71518687,-31.69595579
1110017D15Rik,0,0,-11.57257965,-12.3273167,-17.22200233
1110018F16Rik,0,-8.058180294,-15.23543061,0,-7.721577768
1110018G07Rik,0,19.926940845,37.100904684,0,0
1110018J18Rik,0,-8.455607339,-17.69281389,-11.98267759,0
1110020A21Rik,0,0,-22.15456425,-23.08098568,-9.127489307
1110021L09Rik,0,0,-19.33187088,0,-7.244935481
1110031I02Rik,-11.18628293,0,0,0,0
1110032A03Rik,0,-4.311902255,-14.1203604,0,0
